service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Run,Services CPU (Request-based billing),622000000,global,152E-C115-5142,4856-B847-F1EB,14.928,
Cloud Run,Services Memory (Request-based billing),311000000,global,152E-C115-5142,02A2-9231-36A6,0.7775,
Cloud Run,Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - vCPU in Americas,1460.0,us-central1,9662-B51E-5089,741F-D668-2417,60.298,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - RAM in Americas,5475.0,us-central1,9662-B51E-5089,49E9-5D00-B807,38.325,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Americas,73000.0,us-central1,9662-B51E-5089,F0A1-2B08-FA36,17,
Cloud Storage  (Cloud Storage),Standard Storage US Regional,2000.0,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,39.9,
,,,,,,,
,,,,,Total Price:,174.4285,
,,,,,,,
"Prices are in US dollars, effective date is 2026-03-18T00:22:43.139Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVExTjJNMk9UTmlPUzB3WVdFekxUUTNNVGd0WVRRellTMWxaams0TmpReE5tRmxPRGNRQVE9PRokMDY1Q0IzQzItOTQ4My00MzI5LUFCMEEtRjJFOUE0RUY1Mzc1,,,,,,